No,GRT,Length,TerminalName,TEU,VoyageType,Interval,EarlinessTardiness,ST,OT,UT
1803,24305,182,1,376,Liner,4.75,3,0.85,17.28,1.95
1804,1677,73,1,131,Feeder,19.75,-2,1.03,2.43,2.28
1805,3986,106,1,476,Feeder,9.57,6,0.92,8.92,0.83
1806,17887,220,1,1798,Liner,2.18,1,0.85,19.62,1.95
1807,19698,172,1,1391,Feeder,20.9,-2,1.2,20.38,0.83
1808,10837,158,1,690,Feeder,5.1,1,1.25,5.58,1.2
1809,38991,240,1,1155,Liner,1,2,3.85,12.03,1.62
1810,28150,221,1,2151,Liner,1.1,-3,1.85,23.48,1.92
1811,29872,210,1,1105,Liner,9.9,-4,1.57,16.27,1.67
1812,25391,207,1,1781,Liner,23,1,1.6,21.85,2.8
1813,28300,221,1,2750,Liner,18.13,-25,1.8,25.58,3.38
1814,30024,208,1,2184,Liner,2.52,8,1.35,33.67,1.4
1815,25407,207,1,2001,Liner,6.35,-1,2.87,30.12,2.02
1816,27103,178,1,1914,Feeder,3.67,-2,2.17,27.27,1.07
1817,8571,137,1,1148,Feeder,1.07,-1,1.28,33.83,2.18
1818,15995,170,1,582,Liner,8.87,-4,1.12,13.05,1.67
1819,8944,140,1,882,Liner,16.57,0,1.22,15.7,0.5
1820,14066,162,1,104,Liner,1.13,-1,0.62,3.82,0.77
1821,27800,213,1,941,Liner,18.7,-4,1.13,9.6,0.22
1823,15670,168,1,1453,Feeder,7.83,-5,1.1,39.03,1.33
1824,16135,170,1,1799,Feeder,0.17,-1,2.75,29.13,0.88
1825,14193,155,1,1860,Liner,5,4,1.13,29.83,2.7
1826,36014,240,1,5628,Liner,13.37,-6,2.18,69.58,1.65
1827,15670,168,1,1179,Liner,9.23,2,1.33,29.88,1.2
1828,21045,182,1,1490,Liner,29,6,1.52,18.2,0.62
1829,27915,215,1,2337,Liner,7.15,-2,1.42,27.25,1.63
1830,25391,207,1,1532,Liner,1.55,1,1.2,34.65,1.62
1831,34487,228,1,1748,Liner,8.12,-4,2.52,37.52,2.37
1832,34231,215,1,1219,Liner,23.42,-3,1.6,17.65,0.63
1833,15670,168,1,1736,Liner,1.67,2,1.8,24.8,3.23
1834,27103,178,1,1983,Feeder,2.3,-3,1.63,27.67,1.37
1835,15670,168,1,881,Feeder,22.87,-22,0.95,17.83,2.13
1836,15995,170,1,780,Liner,2,2,0.87,8.95,1.18
1837,32630,206,1,2126,Liner,10.33,1,1.6,19.25,0.9
1838,16100,170,1,363,Liner,0.6,1,1.2,4.8,1.18
1839,3236,101,1,234,Feeder,14.57,-3,1.55,13.28,6.08
1840,14036,155,1,1740,Liner,1.5,5,1.25,26.67,0.75
1841,27213,200,1,2207,Liner,7.33,10,2.35,50.03,0.65
1842,25407,207,1,2392,Liner,0.08,2,1.52,34.07,2.28
1843,40594,239,1,320,Liner,2.17,4,1.23,13.03,1.15
1844,1677,73,1,19,Feeder,3.25,1,3.32,0.5,1.77
1845,75590,300,1,1942,Liner,26.3,-9,0.98,22.98,1.22
1846,36014,240,1,4874,Liner,11.6,22,1.92,55.33,3.33
1847,17887,182,1,1649,Liner,9,4,1.1,19.6,0.53
1848,8944,140,1,576,Liner,4.3,-1,2.82,14.18,1.42
1849,75590,300,1,3009,Liner,11.72,-9,1.83,36.38,3.45
1850,25705,209,1,2738,Liner,29.68,-4,1.48,35.43,1.7
1851,31730,192,1,1833,Liner,7.9,2,1.68,33.73,2.08
1852,16694,174,1,529,Liner,2.1,1,1.95,5.93,0.87
1853,9981,139,1,1109,Feeder,10.48,-4,1.65,21.62,0.32
1854,25407,207,1,1461,Liner,13.42,-1,1.48,26.27,1.95
1855,37235,242,1,2499,Liner,4.25,1,2.52,42.68,1.97
1856,14193,156,1,1545,Liner,0.92,4,1.5,27.07,3.93
1857,15670,168,1,1885,Liner,0.67,1,1.18,27.95,2.43
1858,5847,120,1,375,Liner,5.67,-1,2.08,11.85,1.98
1859,75590,300,1,3339,Liner,35.3,1,2.43,38.67,0.82
1860,15995,170,1,635,Liner,5.3,23,0.55,17.85,0.48
1861,5998,128,1,938,Feeder,1.4,13,0.95,20.17,1.73
1862,26681,200,1,1784,Liner,1.1,4,0.98,20.13,1.58
1863,29115,195,1,1934,Liner,5.4,-5,1.22,30.47,2.15
1864,17887,181,1,1432,Liner,3.6,5,1.35,18.2,0.97
1865,28270,213,1,1189,Liner,9.65,-2,1.88,20.18,1.27
1866,34467,228,1,1983,Liner,5.67,1,1.67,30.83,3.43
1867,40944,264,1,450,Liner,2.92,1,2.02,7.02,1.52
1868,29873,210,1,987,Liner,5,-3,1.02,18.9,1.25
1869,9030,126,1,679,Liner,8.67,9,0.7,12.1,2.37
1870,15670,168,1,799,Liner,48.75,-3,1.98,16.45,2.07
1871,36014,240,1,5028,Liner,6.33,4,1.25,48.63,1.95
1872,75590,300,1,2147,Liner,1.25,1,2.33,33.65,1.75
1873,40594,239,1,382,Liner,8.92,5,1.33,15.42,2.13
1874,27681,222,1,2260,Liner,10.42,-12,0.35,29.32,7.77
1875,15670,168,1,1101,Liner,5.58,2,0.62,25.25,3.63
1876,16100,170,1,381,Liner,8.83,1,2.88,9.88,1.03
1877,27103,178,1,803,Feeder,3.52,-5,0.92,14.2,1.38
1878,14036,155,1,1801,Liner,14.9,-3,1.18,32.12,0.7
1879,16166,170,1,2084,Feeder,10.58,1,1.52,79.43,1.3
1880,28300,221,1,1885,Liner,14,14,1.4,21.8,3.13
1881,27130,177,1,3229,Liner,4.92,-5,1.55,39.22,1.4
1882,15995,170,1,1420,Liner,0.3,0,1.27,32.33,1.15
1883,28676,226,1,1077,Liner,1.37,-1,1.05,25.95,1.3
1884,8944,140,1,389,Liner,24.43,-2,0.68,11.3,2.37
1885,27779,222,1,2708,Liner,3.4,2,0.88,28.63,1.4
1886,36014,240,1,4448,Liner,8.75,-3,1.43,77,1.9
1887,10256,147,1,475,Liner,0.55,-4,0.45,11.42,2.55
1888,14063,155,1,1407,Feeder,15.2,-12,1.88,41.7,2.25
1889,6714,100,1,882,Feeder,8,-2,1.9,17.82,1.45
1890,6393,122,1,1019,Feeder,10.62,-8,3.87,39.57,1.4
1891,23285,187,1,2157,Liner,43.05,-6,2.1,60.17,2.98
1892,75590,300,1,2017,Liner,0.83,37,1.55,18.68,1.33
1893,19698,172,1,1629,Feeder,16.17,0,0.67,21,1.83
1894,26611,210,1,939,Liner,6.33,-4,1.03,15.35,0.85
1896,8571,137,1,1125,Feeder,5.2,7,1.58,35.88,1.12
1897,14063,155,1,1397,Feeder,2.3,-11,1.42,38.08,1.83
1898,27915,215,1,1881,Liner,3.5,-3,1.88,20.67,2.45
1899,16135,170,1,1325,Feeder,7.92,-10,1.8,25.43,2.02
1900,17887,220,1,2062,Liner,29.5,-3,1.82,25.18,1.25
1901,9030,126,1,279,Liner,4.58,3,0.85,3.57,3.42
1902,34.231,216,1,543,Liner,0.8,-1,1.62,11.4,2.57
1903,15670,168,1,1668,Liner,1.2,-11,1.08,31.7,1.47
1904,28150,221,1,2127,Liner,11,-1,1.73,28.23,1.83
1905,29872,210,1,765,Liner,11.08,-18,0.95,14.07,0.73
1906,25407,207,1,1128,Liner,21.42,2,2.58,16.03,1.97
1907,71902,293,1,3255,Liner,3.5,12,2.93,25.78,1.03
1908,15670,168,1,402,Liner,7.5,3,1.5,10.95,2.38
1909,14063,155,1,1387,Feeder,23.33,-9,1.78,18.58,1.2
1910,15995,170,1,931,Liner,4.42,10,1,9.15,1.35
1911,6393,122,1,1166,Feeder,0.5,3,0.92,15.53,1.93
1912,16100,170,1,336,Liner,8.08,7,1.32,8.38,2.2
1913,15670,168,1,1667,Liner,5.17,-3,1.35,29.98,2.08
1914,14036,155,1,780,Liner,11.17,1,0.65,12.8,2.3
1915,26681,200,1,852,Liner,3.33,3,1.47,8.92,1
1916,16166,170,1,2094,Feeder,14,-1,1.28,19.88,3.25
1917,32630,206,1,2177,Liner,13.52,7,1.07,36.93,2.67
1918,27681,221,1,3807,Liner,15.98,2,1.5,50.32,2.52
1919,25705,209,1,1872,Liner,2,2,1.2,20.7,1.93
1920,8571,137,1,1131,Feeder,8.75,-3,1.08,19.25,1.75
1921,34487,228,1,1790,Liner,2.45,7,0.98,28.05,1.8
1922,24305,182,1,252,Liner,2.1,2,1.62,6.27,1.78
1923,66280,276,1,1688,Liner,0.7,1,1.47,18.17,2.62
1924,29873,210,1,946,Liner,46.5,1,0.95,18.57,1.65
1925,21045,182,1,1442,Liner,3.5,1,1.4,13.17,2.27
1926,14063,155,1,1225,Feeder,9.9,3,1.02,22.65,1.02
1927,15995,170,1,900,Liner,1.77,0,1.27,14.48,0.9
1928,31154,214,1,727,Feeder,4.83,-3,1.4,8.53,2.82
1929,14066,162,1,82,Liner,0.33,0,2.62,1.58,1.42
1930,6393,122,1,902,Feeder,15.08,-1,1.45,14.05,2.42
1931,25391,207,1,2533,Liner,4.58,2,2.42,41.78,1.73
1932,27800,213,1,914,Liner,27.33,0,0.87,12.13,1.25
1933,16135,170,1,1756,Feeder,1.17,2,3.38,20.27,2.02
1934,15670,168,1,1497,Liner,17.17,-3,0.63,58.92,2.7
1935,31154,214,1,925,Feeder,20.67,3,1.68,11.73,4.17
1936,15670,168,1,903,Liner,0.67,11,1.22,20.25,2.2
1937,9030,126,1,349,Liner,5.58,-6,1.77,7.02,2.05
1938,73819,304,1,2505,Liner,4.25,-8,1.52,23.3,2.6
1939,36014,240,1,5458,Liner,10.42,-5,1.57,62.55,1.85
1940,14193,156,1,867,Liner,2.85,2,0.82,29.85,1.75
1941,29872,210,1,1062,Liner,0.4,4,1.73,13.05,2.88
1942,34467,228,1,1356,Liner,3.8,-5,3.27,41.08,2.15
1943,31730,192,1,1308,Liner,7.37,-1,0.72,25.55,2.82
1944,8571,137,1,929,Feeder,3.53,3,1.05,37.75,2.37
1945,20526,183,1,1172,Feeder,23.7,-3,0.92,19.3,2.78
1946,15670,168,1,1217,Liner,26.35,1,1.8,25.63,2.6
1947,25391,207,1,2976,Liner,4.9,2,1.03,31.2,1.52
1948,14063,155,1,1865,Feeder,2.85,5,1.48,25.8,1.13
1949,23825,188,1,1309,Liner,1,-1,2,27.1,1.98
1950,16100,170,1,64,Liner,3.9,-1,0.93,0.97,1.2
1951,25407,207,1,2630,Liner,13.3,0,2.25,39.92,2.83
1952,16166,170,1,2092,Feeder,11.05,2,7.07,63.93,1.58
1953,37479,231,1,2362,Liner,1.25,1,0.95,23.05,0.67
1954,28270,213,1,1267,Liner,19.3,25,1.37,17.12,2.27
1955,28300,221,1,1606,Liner,7.28,-13,1.68,23.02,2.97
1956,15988,170,1,1484,Feeder,2.25,-9,1.67,25.53,1.63
1957,17887,181,1,557,Liner,12.97,0,1.28,5.2,1.02
1958,36014,240,1,5881,Liner,4.93,0,2.07,51.25,2.13
1959,42000,243,1,405,Liner,21.52,-20,2.43,6.92,3.48
1960,40594,239,1,299,Liner,0.5,2,2.45,12.13,1.08
1961,29873,210,1,1548,Liner,20,-2,1.3,17.62,1.42
1962,50963,275,1,2432,Liner,2.55,10,1.4,21.6,0.83
1963,25407,207,1,2376,Liner,3.6,-4,1.58,13.63,25.45
1964,8944,140,1,818,Liner,0.53,3,1.73,16.3,1.97
1965,27681,222,1,1168,Liner,7.52,0,1.25,15.55,5.62
1966,16694,174,1,943,Liner,16.3,0,0.8,13.02,1.68
1967,37235,242,1,1094,Liner,4.05,6,0.77,12.55,2.02
1968,15995,170,1,1331,Liner,2.7,11,1.35,18.82,1.67
1969,14193,155,1,1645,Liner,0.5,8,1.42,23.8,1.53
1970,14066,162,1,126,Liner,1.5,2,2.08,10.03,1.88
1971,15670,168,1,1349,Liner,11.02,-4,1.02,37.17,2.07
1973,8571,137,1,1096,Feeder,6.98,0,1.15,28.47,2.78
1974,14063,155,1,1650,Feeder,29.3,-1,2.18,29.98,1.58
1975,27915,215,1,1460,Liner,12.63,-5,1.12,12.08,2.22
1976,26681,200,1,1321,Liner,15.57,-3,2.13,12.93,2.3
1977,9030,126,1,387,Liner,3,-2,2.15,8.85,1.33
1978,40944,264,1,402,Liner,12.25,-10,0.97,6.67,1.52
1979,66280,276,1,2590,Liner,1.25,1,1.57,26.72,1.78
1980,6393,122,1,943,Feeder,9,-5,3.02,18.72,1.85
1981,15670,168,1,1279,Liner,2.3,1,1.1,31.8,2.1
1982,27779,222,1,2281,Liner,3.2,1,2.45,37.3,2.68
1983,29872,210,1,1017,Liner,18.33,-6,1.83,17.97,1.03
1984,28676,226,1,1263,Liner,37.17,9,2.58,15.18,2.73
1985,14036,155,1,1813,Liner,3.5,3,2.92,27.15,1.62
1986,37023,231,1,2811,Liner,6,0,1.15,22.6,1.38
1987,40594,239,1,321,Liner,0.37,-5,1.22,10.35,1.93
1988,27800,213,1,713,Liner,5.38,2,1.22,12.78,1.57
1989,15670,168,1,1115,Liner,0.5,-9,1.18,26.03,2.03
1990,36014,240,1,4762,Liner,3.92,-6,2.67,67.82,1.77
1991,14063,155,1,1762,Feeder,14.08,-8,1.8,50.43,0.93
1992,16100,170,1,402,Liner,6.95,3,0.62,11.57,2.15
1993,20526,183,1,1166,Feeder,8.4,8,0.92,12.32,0.95
1994,29115,195,1,2574,Liner,1.85,-2,2.07,46.57,1.7
1995,8571,137,1,1049,Feeder,21.3,2,2,46.87,2.15
1996,25705,209,1,1864,Liner,19.58,12,2.92,20.82,1
1997,30024,208,1,1312,Liner,0.5,19,1.6,44.38,2.52
1998,10256,147,1,462,Liner,1.77,4,1.93,7.92,1.23
1999,37.07,237,1,347,Liner,16.15,-3,0.93,4.77,2.13
2000,28150,221,1,2247,Liner,0.75,3,1.35,28.8,3.27
2001,29872,210,1,1089,Liner,0.67,-3,2.78,13.8,1.22
2002,7559,300,1,2490,Liner,2.43,-3,1.57,27.13,1.13
2003,27130,177,1,2718,Liner,2.23,5,2.27,50.72,2.27
2004,8944,140,1,270,Liner,1.33,-2,2.78,14.93,0.95
2005,15995,170,1,1081,Liner,3.33,-3,2.92,13.75,0.73
2006,14063,155,1,1668,Feeder,1.5,-6,1.33,52.08,1.07
2007,17887,220,1,1012,Liner,16.25,-3,0.77,16.83,1
2008,16166,170,1,2011,Feeder,6.63,0,1.35,62.85,0.77
2009,15670,168,1,1197,Liner,46.12,-3,0.68,19.15,2.67
2010,26611,210,1,782,Liner,3.67,4,1.8,16.45,0.85
2011,14066,162,1,455,Liner,1.58,-1,0.35,8.63,1.85
2012,23285,187,1,2446,Liner,3.55,5,1.77,50.67,3.82
2013,36014,240,1,3999,Liner,4.2,5,2.08,91.58,2.13
2014,14193,156,1,854,Liner,28.5,-4,0.83,23.53,3.38
2015,6393,122,1,1121,Feeder,9,8,0.82,28.58,2.6
2016,14063,155,1,1515,Feeder,16.7,-4,0.9,21.52,1.83
2017,34487,228,1,1333,Liner,25.05,-1,2.45,14.67,2.38
2018,29873,210,1,1405,Liner,10.25,2,1.43,16.97,1.6
2019,34467,228,1,2436,Liner,10.25,2,1.28,32.7,2.18
2020,27103,178,1,1503,Liner,2.75,8,1.87,21.82,1.32
2021,37134,242,1,2362,Liner,0.25,0,2.15,27.5,4.02
2022,25391,207,1,779,Liner,2,0,1.23,24.98,2.95
2023,15995,170,1,1860,Feeder,8.75,5,1.45,43.33,1.55
2024,25407,207,1,2392,Liner,12,-8,1.5,57.93,2.93
2025,14036,155,1,1577,Liner,12.5,3,1.45,30.7,1.68
2026,75590,300,1,3675,Liner,12.6,-3,1.62,29.38,1.48
2027,26681,200,1,829,Liner,3.73,6,1.02,11.43,1.32
2028,32630,206,1,3537,Liner,6.17,-3,1.58,38.23,1.27
2029,13547,159,1,585,Liner,44.17,-34,1.4,15.32,2.37
2030,38395,236,1,853,Liner,5.33,-2,1.12,10.45,0.93
2031,6393,122,1,880,Feeder,1.58,5,1.12,22.57,1.6
2032,38991,240,1,501,Liner,22.67,-2,1.35,7.13,1.68
2033,15995,170,1,1541,Liner,13.42,1,1.32,26.17,1.02
2034,25407,207,1,2056,Liner,1.83,1,1.22,26.72,2.73
2035,29872,210,1,1618,Liner,9.43,1,1.57,21.43,2.58
2036,31730,192,1,1597,Liner,3.17,6,1.63,19.68,1.6
2037,8944,140,1,802,Liner,1.4,0,0.92,17.48,1.68
2038,14063,155,1,1455,Feeder,1.7,13,1.57,35.35,2.28
2039,27213,200,1,1513,Liner,6.42,-4,1.08,22.87,1.3
2040,15670,168,1,1518,Liner,6.25,-7,1.62,76.92,2.13
2041,75590,300,1,2073,Liner,0.38,7,0.7,24.27,1.98
2042,36014,240,1,3982,Liner,5.12,-1,0.85,41.37,2.97
2043,25391,207,1,832,Liner,25.58,0,2.98,14.18,2.78
2044,14193,155,1,1692,Liner,2.38,12,1.48,29.8,2.38
2045,15670,168,1,617,Liner,1.67,6,2.38,17.22,1.8
2046,8571,137,1,1089,Feeder,8.5,-6,1.42,22.12,1.43
2047,27800,213,1,912,Liner,10.88,2,0.87,16.75,1.47
2048,14066,162,1,1066,Liner,12.32,1,1.38,16.87,0.98
2049,24305,182,1,599,Liner,34.8,-5,1.32,17.72,1.7
2050,23825,188,1,1917,Liner,4,2,1.22,44.85,2.55
2051,28270,213,1,1490,Liner,13.25,-6,1.15,20.25,2.77
2053,6393,122,1,923,Feeder,12.25,0,2.62,17.08,1.7
2054,29873,210,1,1050,Liner,3.7,1,1.25,20.58,1.67
2055,17887,181,1,882,Liner,11.38,0,0.85,8.55,0.67
2056,37235,242,1,2048,Liner,0.72,5,1.58,27.73,3.67
2057,36014,240,1,4289,Liner,10.7,1,1.75,57.85,3.32
2058,15670,168,1,1306,Liner,0.25,1,0.87,80.37,1.35
2059,75590,300,1,2038,Liner,17,-1,1.7,27.1,1.95
2060,14036,155,1,1755,Liner,7.75,-4,0.87,28.47,1.08
2061,25407,207,1,990,Liner,2,-1,0.28,16.53,1.35
2063,18050,183,1,334,Liner,29.57,-7,1.17,10.35,2.98
2064,16100,170,1,672,Liner,19.52,4,2.77,11.68,2.13
2065,17887,182,1,2042,Liner,0.17,1,1.1,18.42,0.97
2066,75590,300,1,1942,Liner,4.17,-2,1.32,24.57,1.9
2067,15670,168,1,386,Liner,2.5,1,1.55,24.65,1.97
2068,8571,137,1,1218,Feeder,30.58,0,1.57,28.17,2.4
2069,42000,243,1,608,Liner,27.5,-11,0.82,8.42,0.75
2070,10256,147,1,502,Liner,2.17,-5,0.82,10.43,1
2071,27779,222,1,1979,Liner,9.33,10,0.9,20.33,2.1
2072,29872,210,1,1187,Liner,4.47,-4,0.98,15.15,1.58
2073,15995,170,1,2289,Liner,0.12,1,1.25,28.8,0.78
2074,28676,226,1,1845,Liner,14.08,3,0.87,28.45,2.08
2075,9981,139,1,1175,Feeder,5.23,-2,0.75,19.7,1.22
2076,16250,163,1,1119,Liner,2.1,0,1.25,16.93,0.98
2077,14063,155,1,1521,Feeder,23,0,0.7,27.32,1.65
2078,36014,240,1,5009,Liner,1,5,1.27,56.52,2.95
2079,15995,170,1,2202,Liner,1.5,2,1.95,34.05,0.67
2080,14193,156,1,1674,Liner,1,-1,1.87,32.98,1.98
2081,37023,231,1,1799,Liner,14.2,-3,0.8,28.07,0.8
2082,40594,239,1,413,Liner,0.22,2,0.3,12.1,1.68
2083,14066,162,1,729,Liner,13.18,0,2.3,10.13,2.23
2084,18233,178,1,191,Liner,5.4,2,0.4,3.52,2.92
2085,26681,200,1,1375,Liner,2.67,4,1.05,17.27,1.35
2086,6393,122,1,950,Feeder,14.83,-6,0.82,21.77,2.42
2087,15670,168,1,1438,Liner,16.83,0,1.35,17.78,3.12
2088,27681,222,1,2864,Liner,18.17,3,4.25,31.5,3.08
2089,15670,168,1,1211,Liner,2.17,0,1.07,39.02,2.88
2090,40944,264,1,359,Liner,6.63,0,1.45,3.88,1.4
2091,28150,221,1,2301,Liner,15.2,-5,1.1,25.07,1.85
2092,15995,170,1,2149,Liner,2.2,2,1.5,24.65,3.1
2093,37023,231,1,1659,Liner,18.8,2,0.63,17.63,0.23
2094,28676,226,1,1746,Liner,9,14,2.53,16.17,1.72
2095,14063,155,1,1796,Feeder,13,-2,1,30.82,1.35
2096,75590,300,1,3867,Liner,14,4,0.75,69.07,5.2
2097,14036,155,1,1767,Liner,5.5,1,3.97,56.6,2.5
2098,21932,197,1,212,Liner,26.83,2,0.83,8.9,4.27
2099,36014,240,1,4499,Liner,12,-2,1.32,46,5.85
2100,8082,129,1,616,Feeder,8.37,-1,2.83,12,2.48
2101,27800,213,1,833,Liner,4.47,12,0.75,13.85,1.07
2102,29115,195,1,2234,Liner,15.63,-1,4.17,32.82,2.53
2103,27213,200,1,940,Liner,7.3,-1,1.1,20.68,1.63
2104,37042,231,1,1791,Liner,0.8,-2,1,14.2,1.38
2105,37.07,237,1,636,Liner,3.1,-8,0.97,8.3,1.38
2106,10256,147,1,333,Liner,8.75,-6,2.57,25.93,1.5
2107,73819,304,1,1620,Liner,18.25,-3,2.18,17.83,2.35
2108,29873,210,1,1795,Liner,5.4,1,1.28,20.45,1.47
2109,15995,170,1,2250,Liner,8.8,3,0.95,36.05,2
2110,37134,242,1,2284,Liner,1.9,-10,1.88,21.35,2.37
2111,10837,158,1,1260,Feeder,8.92,-10,1.3,27.35,1
2112,34487,228,1,1457,Liner,6.4,9,0.9,24.13,2.55
2113,15670,168,1,1616,Liner,2.75,-1,1.2,31.83,1.72
2114,25407,207,1,777,Liner,1.03,-2,0.88,14.48,1.58
2115,17360,179,1,166,Liner,5.8,7,0.45,4.92,1.3
2116,16706,183,1,510,Liner,20.5,-19,0.8,14.05,2.05
2117,27130,177,1,3613,Liner,1,7,1.23,47.77,0.33
2118,15670,168,1,873,Liner,15.7,3,0.75,14.7,2.6
2119,16250,163,1,786,Liner,37.55,0,0.88,9.47,1.08
2120,40594,239,1,393,Liner,5.75,4,1.08,11.73,1.27
2121,26611,210,1,743,Liner,27.17,3,0.83,14.08,0.7
2122,9030,126,1,618,Liner,0.83,4,0.72,11.27,2.47
2123,23825,188,1,2894,Liner,2.25,-1,1.03,32.25,2.05
2124,37023,231,1,2573,Liner,17.75,-3,0.82,19.22,0.97
2125,29872,210,1,1253,Liner,1.52,1,0.82,13.68,2
2126,14193,155,1,1180,Liner,12.23,1,0.95,17.3,2.75
2127,73819,304,1,2022,Liner,2.5,4,2.67,18.03,1.93
2128,15670,168,1,143,Liner,5.83,0,0.88,4.55,2.57
2129,15995,170,1,1964,Liner,5.67,12,1.03,19.8,1.92
2130,25407,207,1,1870,Liner,36.75,2,1.27,22.45,24.18
2131,14063,155,1,1787,Feeder,14.67,7,1.08,19.8,2.42
2132,16100,170,1,756,Liner,1.33,0,2.57,14.93,2.1
2133,32630,206,1,1779,Liner,6.5,-1,1.03,14.68,2.17
2134,8571,137,1,1035,Feeder,0.67,1,1.23,17.07,1.63
2135,36014,240,1,4301,Liner,4.58,-4,1.1,40.57,2.27
2136,27681,221,1,2227,Liner,11.25,1,1.23,22.13,3.92
2137,15995,170,1,1654,Liner,3.92,3,0.82,26,1.27
2138,18123,175,1,713,Liner,3.88,4,0.63,8.67,1.95
2139,26681,200,1,952,Liner,8.2,2,0.77,12.27,1.2
2140,15670,168,1,1197,Liner,10.5,14,1.08,21.67,1.25
2141,30047,208,1,2358,Liner,0.52,-1,1.3,45.18,1.8
2142,21045,182,1,2388,Liner,9.62,8,0.8,24.75,1.03
2143,6393,122,1,1079,Feeder,9.57,-5,0.85,15.25,1.6
2144,25391,207,1,2134,Liner,22.8,-12,0.7,31.08,2.13
2145,15670,168,1,191,Liner,0.05,0,1.2,6.05,5.57
2146,29873,210,1,1579,Liner,23.28,-1,1.98,15.65,3.42
2147,28270,213,1,2073,Liner,2.97,4,2.65,26.72,1.88
2148,37235,242,1,2491,Liner,8.3,-1,1.13,25.77,2.18
2149,15995,170,1,1933,Feeder,8.73,1,3.8,28.3,1.65
2150,14036,155,1,1461,Liner,5.67,3,0.82,27.13,1.07
2151,15670,168,1,1555,Liner,15,49,0.73,28.27,1.67
2152,36014,240,1,4784,Liner,31.53,-3,0.75,48.42,2.08
2153,73819,304,1,4153,Liner,0.02,0,2.18,43.1,1.6
2154,8571,137,1,941,Feeder,6.2,2,0.72,15.68,4.35
2155,19131,189,1,150,Liner,12.42,17,1.42,3.85,2.65
2156,3986,106,1,646,Feeder,14.33,-8,0.78,13.7,1.85
2157,15995,170,1,1757,Liner,13,17,1.47,21.03,0.88
2158,34231,215,1,538,Liner,4.82,-3,1.55,5.55,2.48
2159,27800,213,1,937,Liner,14.68,-1,0.5,12.25,0.92
2160,9030,126,1,463,Liner,3,11,0.43,8.88,1.08
2161,66280,276,1,1917,Liner,1.08,5,0.95,26.43,1.28
2162,6393,122,1,878,Feeder,2.22,-2,1.02,12.9,1.67
2163,29872,210,1,1256,Liner,9.7,-1,0.72,11.33,1.4
2164,24305,182,1,559,Liner,1.5,7,3.03,14.63,2.45
2165,3986,106,1,639,Feeder,5.25,-2,1.08,10.53,1.53
2166,27779,222,1,1911,Liner,21.25,-1,0.78,20.18,1.7
2167,14063,155,1,1848,Feeder,2.5,6,0.73,16.85,1.78
2168,21932,197,1,61,Liner,9.5,2,0.25,1.35,1.28
2169,28676,226,1,1847,Liner,11.83,4,0.92,23.57,2.68
2170,37023,231,1,3128,Liner,6.67,5,1.03,24.32,0.9
2171,36014,240,1,4866,Liner,5,-15,2.38,44.32,1.3
2172,25391,207,1,3345,Liner,16,-2,2.67,52.8,2.37
2173,14193,156,1,1696,Liner,17.25,6,0.92,25.02,1.57
2174,27681,222,1,2137,Liner,0.75,3,0.43,26.4,4.02
2175,25407,207,1,1043,Liner,1.88,0,1.65,10.57,1.87
2176,16236,164,1,1125,Liner,18.12,-3,0.93,20.08,1.28
2178,8571,137,1,1014,Feeder,1.25,2,0.67,23.17,1.95
2179,10256,147,1,406,Liner,4.75,-7,1.2,7.13,1.17
2180,15670,168,1,1168,Liner,28,-7,2.38,33.22,1.83
2181,28150,221,1,2120,Liner,0.75,1,1.12,18.63,2.33
2182,3986,106,1,603,Feeder,27.77,0,0.75,12.63,1.17
2183,6393,122,1,904,Feeder,39.98,-3,0.9,10.97,1.13
2184,37023,231,1,2551,Liner,11.83,9,0.52,19.9,1.32
2185,16250,163,1,771,Liner,6.42,-4,2.48,19.27,0.92
2186,14036,155,1,1949,Liner,5.75,2,0.55,16.45,2.17
2187,15670,168,1,1173,Liner,7.33,1,1.5,25.17,2.25
2188,14063,155,1,1714,Feeder,1.85,1,1.22,47.33,1.57
2189,27758,202,1,1336,Feeder,2.02,-1,1.27,28.8,1.52
2190,26681,200,1,1429,Liner,0.97,2,1.45,17.92,1.3
2191,15670,168,1,745,Feeder,23.25,0,1.22,20.38,12.5
2192,27213,200,1,1532,Liner,1.83,23,1.78,35.3,3.18
2193,3986,106,1,572,Feeder,33.75,-2,0.5,10.13,1.95
2194,40594,239,1,365,Liner,21,0,1.05,6.25,3
2195,15995,170,1,2411,Liner,2.5,4,1.3,23.52,1.38
2196,29873,210,1,1809,Liner,5.42,-7,1.38,18.87,1.38
2197,37134,242,1,3040,Liner,18.33,-2,1.8,25.97,1.73
2198,19573,174,1,2507,Liner,1.75,1,0.42,30.98,2.57
2199,36014,240,1,4831,Liner,0.5,-2,1.33,50.72,1.28
2200,32703,207,1,351,Liner,11.5,1,0.67,6.75,1.92
2201,27103,178,1,1495,Liner,1.5,13,1,18.2,1.88
2202,14063,155,1,1633,Feeder,4,8,2.35,37.2,1.95
2203,13491,160,1,974,Liner,17.5,-4,1.05,31.53,1.37
2204,14193,155,1,1924,Liner,8.75,1,1.8,33.05,3.48
2205,18050,183,1,316,Liner,3.67,-5,0.72,7.58,2.87
2206,16236,164,1,797,Liner,12.33,-10,1.18,14.97,1.33
